TITLE,DOMAINE / FIELD,pISSN,eISSN,FNEGE_2019,FNEGE_2022,FNEGE_2025
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,HLTH,1353- 4505,1464-3677,4,4,4
INTERNATIONAL JOURNAL OF ACCOUNTING & INFORMATION MANAGEMENT,ACC,1758-9037,1834-7649,,,4
INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,ACC,1467-0895,1873-4723,,4,3
INTERNATIONAL JOURNAL OF ADVERTISING,MKG,0265-0487,1759-3948,3,3,3
INTERNATIONAL JOURNAL OF ARTS MANAGEMENT,SECTOR,1480-8986,1480-8986,4,4,4
INTERNATIONAL JOURNAL OF AUDITING,ACC,1090-6738,1099-1123,3,3,3
INTERNATIONAL JOURNAL OF BANK MARKETING,MKG,0265-2323,1758-5937,4,4,4
INTERNATIONAL JOURNAL OF BUSINESS GOVERNANCE AND ETHICS,GEN MAN,1741-802X,1741-802X,,4,4
INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS,MIS,1746-0972,1746-0980,,,4
INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH,INNOV,1751-0252,1751-0260,,,4
INTERNATIONAL JOURNAL OF BUSINESS PERFORMANCE MANAGEMENT,GEN MAN,1368-4892,1741-5039,,,4
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,MKG,1470-6423,1470-6431,,4,3
INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,SECTOR,0959-6119,1757-1049,,3,3
INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT,INT,1470-5958,1741-2838,4,4,4
INTERNATIONAL JOURNAL OF DISCLOSURE AND GOVERNANCE,STRAT,1741-3591,1746-6539​,,,4
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,MIS,1086-4415,1557-9301,2,2,2
INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,SECTOR,1750-6220,1750-6239,,4,4
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR AND RESEARCH,INNOV,1355-2554,1758-6534,3,3,3
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,INNOV,1742-5360,1742-5379,,,4
INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION,INNOV,1465-7503,2043-6882,4,4,4
INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT,INNOV,1368-275X,1741-5098,4,4,4
INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS,INNOV,1476-1297,1741-8054,4,4,4
INTERNATIONAL JOURNAL OF FINANCE AND ECONOMICS,FIN,1076-9307,1099-1158,,3,3
INTERNATIONAL JOURNAL OF FORECASTING,STRAT,0169-2070,1872-8200,3,3,3
INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,HRM,1756-6266,1756-6274,,4,4
INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,HLTH,2199-9023,2199-9031,4,4,3
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,HLTH,0749-6753,1099-1751,4,4,4
INTERNATIONAL JOURNAL OF HEALTHCARE MANAGEMENT,HLTH,2047-9700,2047-9719,,,4
INTERNATIONAL JOURNAL OF HERITAGE STUDIES,SECTOR,1352-7258,1470-3610,,4,4
INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,SECTOR,0278-4319,1873-4693,3,3,3
INTERNATIONAL JOURNAL OF HUMAN COMPUTER STUDIES,MIS,1071-5819,1095-9300,3,4,3
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,HRM,0958-5192,1466-4399,2,2,2
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,MIS,0268-4012,1873-4707,2,3,2
INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND CHANGE MANAGEMENT,MIS,1479-3121,1479-313X,,,4
INTERNATIONAL JOURNAL OF INNOVATION AND TECHNOLOGY MANAGEMENT,INNOV,0219-8770,1793-6950,,,4
INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,INNOV,1363-9196,1757-5877,4,4,4
INTERNATIONAL JOURNAL OF INNOVATION SCIENCE,INNOV,1757-2223,1757-2231,,,4
INTERNATIONAL JOURNAL OF INTEGRATED SUPPLY MANAGEMENT,LOG,1477-5360,1741-8097,,,4
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,INT,0147-1767,1873-7552,,4,4
INTERNATIONAL JOURNAL OF KNOWLEDGE MANAGEMENT,MIS,1548-0658,1548-0666,,,4
INTERNATIONAL JOURNAL OF KNOWLEDGE MANAGEMENT STUDIES,ORG STUD,1743-8268,1743-8276,,,4
"INTERNATIONAL JOURNAL OF KNOWLEDGE, CULTURE AND CHANGE MANAGEMENT",GEN MAN,1447-9524,1447-9575,,4,4
INTERNATIONAL JOURNAL OF LOGISTICS: RESEARCH AND APPLICATIONS,LOG,1367-5567,1469-848X,3,3,3
INTERNATIONAL JOURNAL OF MANAGEMENT AND DECISION MAKING,GEN MAN,1462-4621,1741-5187,,4,4
INTERNATIONAL JOURNAL OF MANAGEMENT AND ENTERPRISE DEVELOPMENT,INNOV,1468-4330,1741-8127,,,4
INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,EDUC,2352-3565,1472-8117,,,4
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,GEN MAN,1460-8545,1468-2370,2,2,2
INTERNATIONAL JOURNAL OF MANAGERIAL AND FINANCIAL ACCOUNTING,ACC,1753-6715,1753-6723,,,4
INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,FIN,1743-9132,1758-6569,,,4
INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS,LOG,1753-8378,1753-8386,,4,4
INTERNATIONAL JOURNAL OF MANPOWER,HRM,0143-7720,1758-6577,4,3,3
INTERNATIONAL JOURNAL OF MANUFACTURING TECHNOLOGY AND MANAGEMENT,LOG,1368-2148,1741-5195,4,4,4
INTERNATIONAL JOURNAL OF MARKET RESEARCH,MKG,1470-7853,2515-2173,3,3,3
INTERNATIONAL JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT,LOG,0144-3577,1758-6593,2,1,1
INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,ORG STUD,1758-8561,1934-8835,,,4
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION AND LOGISTICS MANAGEMENT,LOG,0960-0035,1758-664X,2,2,2
INTERNATIONAL JOURNAL OF PROCUREMENT MANAGEMENT,LOG,1753-8432,1753-8440,,,4
INTERNATIONAL JOURNAL OF PRODUCT DEVELOPMENT,INNOV,1477-9056,1741-8178,,,4
INTERNATIONAL JOURNAL OF PRODUCT LIFECYCLE MANAGEMENT,BUS SOC,1743-5110,1743-5129,,,4
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,LOG,0925-5273,1873-7579,1,1,2
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,LOG,0020-7543,1366-588X,2,2,2
INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,LOG,1741-0401,1741-0401,,,4
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,LOG,0263-7863,1873-4634,2,2,2
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,PUB MAN,0190-0692,1532-4265,3,3,3
INTERNATIONAL JOURNAL OF PUBLIC SECTOR MANAGEMENT,PUB MAN,0951-3558,1758-6666,4,4,4
INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT,LOG,0265-671X,1758-6682,3,3,4
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,MKG,0167-8116,1873-8001,1,1,1
INTERNATIONAL JOURNAL OF RETAIL AND DISTRIBUTION MANAGEMENT,MKG,0959-0552,1758-6690,3,3,3
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,HRM,0965-075X,1468-2389,4,4,3
INTERNATIONAL JOURNAL OF SPORT POLICY AND POLITICS,SECTOR,1940-6940,1940-6959,,,4
INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,HRM,1072-5245,1573-3424,,4,4
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,HLTH,0266-4623,1471-6348,4,4,4
INTERNATIONAL JOURNAL OF TECHNOLOGY INTELLIGENCE AND PLANNING,INNOV,1740-2832,1740-2840,,,4
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INNOV,0267-5730,1741-5276,3,3,3
INTERNATIONAL JOURNAL OF THEORETICAL AND APPLIED FINANCE,FIN,0219-0249,1793-6322,3,3,4
INTERNATIONAL JOURNAL OF TOURISM CITIES,SECTOR,2056-5607,2056-5615,,,4
INTERNATIONAL JOURNAL OF TOURISM RESEARCH,SECTOR,1099-2340,1522-1970,,4,3
INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS,SECTOR,0391-8440,0391-8440,4,4,4
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,PUB MAN,0309-1317,1468-2427,,3,3
INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS,MIS,1744-0084,1744-0092,,,4
INTERNATIONAL LABOUR REVIEW,ACC,0020-7780,1564-913X,3,3,3
INTERNATIONAL MARKETING REVIEW,MKG,0265-1335,1758-6763,2,2,2
INTERNATIONAL PUBLIC MANAGEMENT JOURNAL,PUB MAN,1096-7494,1559-3169,4,4,4
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,HRM,0020-8523,1461-7226,3,3,3
INTERNATIONAL REVIEW OF ECONOMICS AND FINANCE,FIN,1059-0560,1873-8036,4,4,3
INTERNATIONAL REVIEW OF ENTREPRENEURSHIP,INNOV,1649-2269,2009-2822,,,4
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,FIN,1057-5219,1873-8079,3,3,3
INTERNATIONAL REVIEW OF PUBLIC ADMINISTRATION,PUB MAN,1229-4659,2331-7795,4,4,4
INTERNATIONAL REVIEW OF PUBLIC AND NON PROFIT MARKETING,MKG,1865-1984,1865-1992,,,4
"INTERNATIONAL REVIEW OF RETAIL, DISTRIBUTION AND CONSUMER RESEARCH",MKG,0959-3969,1466-4402,,,4
INTERNATIONAL SMALL BUSINESS JOURNAL,INNOV,0266-2426,1741-2870,2,2,2
INTERNATIONAL STUDIES OF MANAGEMENT AND ORGANIZATION,PUB MAN,0020-8825,1558-0911,3,3,3
INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH,GEN MAN,0969-6016,1475-3995,,4,4
INTERNET RESEARCH,MIS,1066-2243,1066-2243,,4,3
JOURNAL DE GESTION ET D'ÉCONOMIE DE LA SANTÉ,HLTH,2679-2346,2534-4269,4,4,4
JOURNAL OF ACCOUNTING AND ECONOMICS,ACC,0165-4101,1879-1980,1,1*,1*
JOURNAL OF ACCOUNTING AND ORGANIZATIONAL CHANGE,ACC,1832-5912,1839-5473,4,4,4
JOURNAL OF ACCOUNTING AND PUBLIC POLICY,PUB MAN,0278-4254,1873-2070,2,2,2
JOURNAL OF ACCOUNTING IN EMERGING ECONOMIES,ACC,2042-1168,2042-1176,,,4
JOURNAL OF ACCOUNTING LITERATURE,ACC,0737-4607,2452-1469,3,3,3
JOURNAL OF ACCOUNTING RESEARCH,ACC,0021-8456,1475-679X,1,1*,1*
"JOURNAL OF ACCOUNTING, AUDITING AND FINANCE",ACC,0148-558X,2160-4061,3,3,3
JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH,GEN MAN,0972-7981,2049-3207,,,4
JOURNAL OF ADVERTISING,MKG,0091-3367,1557-7805,2,2,2
JOURNAL OF ADVERTISING RESEARCH,MKG,0021-8499,1740-1909,2,2,2
JOURNAL OF ALTERNATIVE INVESTMENTS,FIN,1520-3255,2168-8435,4,4,4
JOURNAL OF APPLIED ACCOUNTING RESEARCH,ACC,0967-5426,1758-8855,3,3,3
JOURNAL OF APPLIED CORPORATE FINANCE,FIN,1078-1196,1745-6622,,,4
JOURNAL OF APPLIED PSYCHOLOGY,HRM,0021-9010,1939-1854,1,1*,1*
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,MKG,0021-9029,1559-1816,3,4,4
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,SECTOR,1063-2921,1930-7799,,,4
JOURNAL OF ASSET MANAGEMENT,FIN,1470-8272,1479-179X,4,4,4
JOURNAL OF BANKING AND FINANCE,FIN,0378-4266,1872-6372,1,1,1
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS (FORMERLY: JOURNAL OF SOCIO-ECONOMICS),ORG STUD,2214-8043,2214-8051,3,3,3
JOURNAL OF BEHAVIORAL DECISION MAKING,HRM,0894-3257,1099-0771,,2,2
JOURNAL OF BEHAVIORAL FINANCE,FIN,1542-7560,1542-7579,4,4,4
JOURNAL OF BRAND MANAGEMENT,MKG,1350-231X,1479-1803,3,3,3
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,MKG,0885-8624,2052-1189,3,3,3
JOURNAL OF BUSINESS AND ECONOMIC STATISTICS,FIN,0735-0015,1537-2707,,1,1
JOURNAL OF BUSINESS AND PSYCHOLOGY,HRM,0889-3268,1573-353X,3,3,3
JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,GEN MAN,1611-1699,2029-4433,,4,4
JOURNAL OF BUSINESS ETHICS,GEN MAN,0167-4544,1573-0697,1,1,1
JOURNAL OF BUSINESS FINANCE AND ACCOUNTING,ACC,0306-686X,1468-5957,2,2,2
JOURNAL OF BUSINESS LOGISTICS,LOG,0735-3766,2158-1592,2,2,2
JOURNAL OF BUSINESS RESEARCH,MKG,0148-2963,1873-7978,2,2,2
JOURNAL OF BUSINESS STRATEGY,STRAT,0275-6668,0275-6668,4,4,4
JOURNAL OF BUSINESS TO BUSINESS MARKETING,MKG,1051-712X,1547-0628,4,4,4
JOURNAL OF BUSINESS VENTURING,INNOV,0883-9026,1873-2003,1*,1*,1*
JOURNAL OF BUSINESS VENTURING INSIGHT,INNOV,2352-6734,2352-6734,,,4
JOURNAL OF CAREER ASSESSMENT,HRM,1069-0727,1552-4590,3,3,3
JOURNAL OF CAREER DEVELOPMENT,HRM,0894-8453,1573-3548,,4,4
JOURNAL OF CHANGE MANAGEMENT,STRAT,1469-7017,1479-1811,4,4,4
JOURNAL OF CLEANER PRODUCTION,LOG,0959-6526,1879-1786,3,2,3
JOURNAL OF COMMODITY MARKETS,FIN,2405-8505,2405-8513,,4,3
JOURNAL OF COMMUNICATION,MKG,0021-9916,1460-2466,,,4
JOURNAL OF COMPUTATIONAL FINANCE,FIN,1460-1559,1755-2850,,4,4
JOURNAL OF COMPUTER INFORMATION SYSTEMS,MIS,0887-4417,2380-2057,,,4
JOURNAL OF COMPUTER MEDIATED COMMUNICATION,MIS,1083-6101,1083-6101,2,2,2
JOURNAL OF CONFLICT RESOLUTION,HRM,0022-0027,1552-8766,,3,2
JOURNAL OF CONSUMER AFFAIRS,MKG,0022-0078,1745-6606,3,3,3
JOURNAL OF CONSUMER BEHAVIOUR,MKG,1472-0817,1479-1838,,4,3
JOURNAL OF CONSUMER CULTURE,MKG,1469-5405,1741-2900,,,4
JOURNAL OF CONSUMER MARKETING,MKG,0736-3761,0736-3761,4,4,4
JOURNAL OF CONSUMER POLICY,MKG,0168-7034,1573-0700,,4,4
JOURNAL OF CONSUMER PSYCHOLOGY,MKG,1057-7408,1532-7663,1,1,1
JOURNAL OF CONSUMER RESEARCH,MKG,0093-5301,1537-5277,1,1*,1*
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,ACC,1815-5669,2352-3298,,,3
JOURNAL OF CO-OPERATIVE ORGANIZATION AND MANAGEMENT,BUS SOC,2213-297X​,2213-2988,,,4
"JOURNAL OF CORPORATE FINANCE: CONTRACTING, GOVERNANCE AND ORGANIZATION",FIN,0929-1199,1872-6313,2,1,1
JOURNAL OF CREATING VALUE,BUS SOC,2394-9643,2454-213X,,,4
JOURNAL OF CREDIT RISK,FIN,1744-6619,1755-9723,,4,4
JOURNAL OF CULTURAL ECONOMY,SECTOR,1753-0350,1753-0369,,4,4
JOURNAL OF DATABASE MANAGEMENT,MIS,1063-8016,1533-8010,,,4
JOURNAL OF DECISION SYSTEMS,MIS,1246-0125,2116-7052,4,4,4
JOURNAL OF DERIVATIVES,FIN,1074-1240,2168-8524,3,3,3
JOURNAL OF DESTINATION MARKETING AND MANAGEMENT,SECTOR,2212-571X,2212-5752,,,4
JOURNAL OF DEVELOPMENT STUDIES,INT,0022-0388,1743-9140,,3,3
JOURNAL OF DOCUMENTATION,MIS,0022-0418,1758-7379,,,4
JOURNAL OF ECONOMIC AND ADMINISTRATIVE SCIENCES,GEN MAN,2054-6238,2054-6246,,,4
JOURNAL OF ECONOMIC BEHAVIOR AND ORGANIZATION,ORG STUD,0167-2681,1879-1751,,2,2
JOURNAL OF ECONOMIC DYNAMICS AND CONTROL,GEN MAN,0165-1889,1879-1743,,2,2
JOURNAL OF ECONOMIC GEOGRAPHY,BUS SOC,1468-2702,1468-2710,,1,2
JOURNAL OF ECONOMIC PSYCHOLOGY,HRM,0167-4870,1872-7719,,3,3
JOURNAL OF ECONOMICS AND MANAGEMENT STRATEGY,STRAT,1058-6407,1530-9134,2,2,2
JOURNAL OF EDUCATION AND WORK,EDUC,1363-9080,1469-9435,,,4
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,MKG,1526-6133,1938-9027,,4,4
JOURNAL OF EMERGING MARKET FINANCE,FIN,0972-6527,0973-0710,4,4,4
JOURNAL OF EMPIRICAL FINANCE,FIN,0927-5398,1879-1727,2,2,2
JOURNAL OF EMPLOYMENT COUNSELING,HRM,0022-0787,2161-1920,,4,4
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,INNOV,0923-4748,1879-1719,3,3,3
JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT,MIS,1741-0398,1758-7409,3,4,3
JOURNAL OF ENTERPRISING COMMUNITIES,INNOV,1750-6204,1750-6212,,,4
JOURNAL OF ENTERPRISING CULTURE,INNOV,0218-4958,1793-6330,4,4,4
JOURNAL OF ENTREPRENEURSHIP AND PUBLIC POLICY,INNOV,2045-2101,2045-211X,,,4
JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES,INNOV,2053-4604,2053-4612,,,4
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,BUS SOC,0095-0696,1096-0449,,1,1
JOURNAL OF ENVIRONMENTAL MANAGEMENT,BUS SOC,0301-4797,1095-8630,,2,2
JOURNAL OF EUROPEAN PUBLIC POLICY,PUB MAN,1350-1763,1466-4429,,,2
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,MKG,0022-1031,1096-0465,,,3
JOURNAL OF FAMILY BUSINESS MANAGEMENT,INNOV,2043-6238,2043-6246,,,4
JOURNAL OF FAMILY BUSINESS STRATEGY,INNOV,1877-8585,1877-8593,3,3,3
JOURNAL OF FASHION MARKETING AND MANAGEMENT,MKG,1361-2026,1758-7433,,4,4
JOURNAL OF FINANCE,FIN,0022-1082,1540-6261,1*,1*,1*
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,FIN,0022-1090,1756-6916,1,1,1
JOURNAL OF FINANCIAL ECONOMETRICS,FIN,1479-8409,1479-8417,,2,2
JOURNAL OF FINANCIAL ECONOMICS,FIN,0304-405X,0304-405X,1,1*,1*
JOURNAL OF FINANCIAL INTERMEDIATION,FIN,1042-9573,1096-0473,2,1,1
JOURNAL OF FINANCIAL MARKETS,FIN,1386-4181,1878-576X,2,2,2
JOURNAL OF FINANCIAL RESEARCH,FIN,0270-2592,1475-6803,3,3,3
JOURNAL OF FINANCIAL SERVICES RESEARCH,FIN,0920-8550,1573-0735,3,3,3
JOURNAL OF FINANCIAL STABILITY,FIN,1572-3089,1878-0962,3,3,2
JOURNAL OF FIXED INCOME,FIN,1059-8596,1059-8596,3,3,3
JOURNAL OF FORECASTING,STRAT,0277-6693,1099-131X,,3,3
JOURNAL OF FUTURES MARKETS,FIN,0270-7314,1096-9934,3,3,3
JOURNAL OF GENERAL MANAGEMENT,GEN MAN,0306-3070,1759-6106,4,4,4
JOURNAL OF GLOBAL INFORMATION MANAGEMENT,MIS,1062-7375,1533-7995,3,3,3
JOURNAL OF GLOBAL INFORMATION TECHNOLOGY MANAGEMENT,MIS,1097-198X,2333-6846,,,4
JOURNAL OF GLOBAL RESPONSIBILITY,BUS SOC,2041-2568,2041-2576,,,4
JOURNAL OF HAPPINESS STUDIES,HRM,1389-4978,1573-7780,,,4
JOURNAL OF HEALTH ORGANIZATION AND MANAGEMENT,HLTH,1477-7266,1758-7247,,,4
"JOURNAL OF HEALTH POLITICS, POLICY AND LAW",HLTH,0361-6878,1527-1927,4,4,4
JOURNAL OF HEALTH SERVICES RESEARCH AND POLICY,HLTH,1355-8196,1758-1060,4,4,3
JOURNAL OF HEALTHCARE MANAGEMENT,HLTH,1096-9012,1944-7396,,,4
JOURNAL OF HIGH TECHNOLOGY MANAGEMENT RESEARCH,INNOV,1047-8310,1047-8310,4,4,4
JOURNAL OF HIGHER EDUCATION,EDUC,0022-1546,1538-4640,,,4
JOURNAL OF HISTORICAL RESEARCH IN MARKETING,BUS HIST,1755-750X,1755-7518,,4,4
JOURNAL OF HOSPITALITY AND TOURISM INSIGHTS,SECTOR,2514-9792,2514-9806,,,4
JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,SECTOR,1447-6770,1839-5260,,4,3
JOURNAL OF HOSPITALITY AND TOURISM RESEARCH,SECTOR,1096-3480,1557-7554,,4,3
JOURNAL OF HOSPITALITY MARKETING & MANAGEMENT,SECTOR,1936-8623,1936-8631,,,4
"JOURNAL OF HOSPITALITY, LEISURE, SPORT AND TOURISM EDUCATION",SECTOR,1473-8376,1473-8376,,4,4
JOURNAL OF HUMAN RESOURCES,HRM,0022-166X,1548-8004,2,2,2
JOURNAL OF HUMANITARIAN LOGISTICS AND SUPPLY CHAIN MANAGEMENT,LOG,2042-6755,2042-6747,,,4
JOURNAL OF INDUSTRIAL ECOLOGY,BUS SOC,1088-1980,1530-9290,,,3
JOURNAL OF INDUSTRIAL ECONOMICS,INT,0022-1821,1467-6451,,2,3
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,MIS,2452-414X​,2467-964X,,,4
JOURNAL OF INDUSTRIAL RELATIONS,HRM,0022-1856,1472-9296,4,4,4
JOURNAL OF INFORMATION SCIENCE,MIS,0165-5515,1741-6485,,,4
JOURNAL OF INFORMATION SYSTEMS,MIS,0888-7985,1558-7959,,4,4
JOURNAL OF INFORMATION SYSTEMS EDUCATION,MIS,1055-3096,2574-3872,,,4
JOURNAL OF INFORMATION TECHNOLOGY,MIS,0268-3962,1466-4437,1,1,1
JOURNAL OF INFORMATION TECHNOLOGY THEORY AND APPLICATIONS,MIS,1532-4516,1552-6496,,,4
"JOURNAL OF INFORMATION, INFORMATION TECHNOLOGY, AND ORGANIZATIONS",MIS,1557-1319,1557-1327,,,4
JOURNAL OF INFORMETRICS,MIS,17511577,18755879,,,4
JOURNAL OF INNOVATION AND KNOWLEDGE,INNOV,2444-569X,2530-7614,,,3
JOURNAL OF INNOVATION MANAGEMENT,INNOV,2183-0606,2183-0606,,,4
JOURNAL OF INTELLECTUAL CAPITAL,INNOV,1469-1930,1758-7468,,4,3
JOURNAL OF INTERACTIVE ADVERTISING,MKG,1525-2019,1525-2019,,,4
JOURNAL OF INTERACTIVE MARKETING,MKG,1094-9968,1520-6653,2,2,2
JOURNAL OF INTERNATIONAL ACCOUNTING RESEARCH,ACC,1542-6297,1558-8025,3,3,3
"JOURNAL OF INTERNATIONAL ACCOUNTING, AUDITING AND TAXATION",ACC,1061-9518,1879-1603,,,3
JOURNAL OF INTERNATIONAL BUSINESS EDUCATION,EDUC,1649-4946,2044-4575,,,4
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,INT,0047-2506,1478-6990,1,1*,1*
JOURNAL OF INTERNATIONAL EDUCATION IN BUSINESS,EDUC,1836-3261,2046-469X,,,4
JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,INNOV,1570-7385,1573-7349,4,4,4
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,ACC,0954-1314,1467-646X,,,3
"JOURNAL OF INTERNATIONAL FINANCIAL MARKETS, INSTITUTIONS AND MONEY",FIN,1042-4431,1873-0612,3,3,3
JOURNAL OF INTERNATIONAL MANAGEMENT,INT,1075-4253,1873-0620,3,3,2
JOURNAL OF INTERNATIONAL MARKETING,MKG,1069-031X,1547-7215,2,2,2
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,FIN,0261-5606,1873-0639,2,2,2
JOURNAL OF INTERNET COMMERCE,MIS,1533-2861,1533-287X,,,4
JOURNAL OF ISLAMIC ACCOUNTING AND BUSINESS RESEARCH,ACC,1759-0817,1759-0825,,,4
JOURNAL OF KNOWLEDGE MANAGEMENT,ORG STUD,1367-3270,1758-7484,3,2,2
JOURNAL OF LABOR ECONOMICS,HRM,0734-306X,1537-5307,,1,1
JOURNAL OF LABOR RESEARCH,HRM,0195-3613,1936-4768,4,4,4
JOURNAL OF LAW AND ECONOMICS,GEN MAN,0022-2186,1537-5285,,1,2
"JOURNAL OF LAW, ECONOMICS, AND ORGANIZATION",GEN MAN,1465-7341,8756-6222,,2,2
JOURNAL OF MACROMARKETING,MKG,0276-1467,1552-6534,3,3,3
JOURNAL OF MANAGEMENT,GEN MAN,0149-2063,1557-1211,1,1,1
JOURNAL OF MANAGEMENT & ORGANIZATION,GEN MAN,1833-3672,1839-3527,,4,4
JOURNAL OF MANAGEMENT ACCOUNTING RESEARCH,ACC,1049-2127,1558-8033,3,3,3
JOURNAL OF MANAGEMENT AND GOVERNANCE,GEN MAN,1385-3457,1572-963X,4,4,4
JOURNAL OF MANAGEMENT CONTROL,ACC,2191-4761​,2191-477X,,,4
JOURNAL OF MANAGEMENT DEVELOPMENT,HRM,0262-1711,1758-7492,4,4,4
JOURNAL OF MANAGEMENT EDUCATION,EDUC,1052-5629,1552-6658,,,3
JOURNAL OF MANAGEMENT HISTORY,BUS HIST,1751-1348,1758-7751,,4,4
JOURNAL OF MANAGEMENT IN ENGINEERING,SECTOR,0742-597X,1943-5479,,4,3
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,MIS,0742-1222,1557-928X,1,1,1
JOURNAL OF MANAGEMENT INQUIRY,GEN MAN,1056-4926,1552-6542,2,2,2
JOURNAL OF MANAGEMENT STUDIES,GEN MAN,0022-2380,1467-6486,1,1,1
"JOURNAL OF MANAGEMENT, SPIRITUALITY AND RELIGION",GEN MAN,1476-6086,1942-258X,,4,4
JOURNAL OF MANAGERIAL PSYCHOLOGY,HRM,0268-3946,1758-7778,3,3,3
JOURNAL OF MANUFACTURING SYSTEMS,LOG,0278-6125,1878-6642,3,4,4
JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,MIS,1741-038X,1758-7786,,4,4
JOURNAL OF MARKETING,MKG,0022-2429,1547-7185,1*,1*,1*
JOURNAL OF MARKETING ANALYTICS,MKG,2050-3318,2050-3326,,,4
JOURNAL OF MARKETING EDUCATION,MKG,0273-4753,1552-6550,4,4,4
JOURNAL OF MARKETING MANAGEMENT,MKG,0267-257X,1472-1376,3,3,3
JOURNAL OF MARKETING RESEARCH,MKG,0022-2437,1547-7193,1,1*,1*
JOURNAL OF MARKETING THEORY AND PRACTICE,MKG,1069-6679,1944-7175,4,4,4
